;name;SKU;price;department;sector
62;Sandália Bebê  Pimpolho Nany Goiaba ;100269185;34.90;moda;calçados-infantis
63;Sapatênis Infantil Zurick Azul ;1002736630;49.99;moda;calçados-infantis
64;Meia Infantil Sapatilha Rosa Cupcake com Solado Emborrachado Puket ;1002704766;46.90;moda;calçados-infantis
65;Meia Sapatilha Bebê Preta Aplique Macaco e Sola Antiderrapante ;1002704760;31.90;moda;calçados-infantis
66;Meia 3/4 Coração Rosa Gumii ;1002710490;26.50;moda;calçados-infantis
67;Babuche Infantil Grendene Kids Liga da Justiça Azul ;1002668356;49.99;moda;calçados-infantis
68;Meia Calça Infantil Fina Fio 20 Off-White Bolinhas Douradas Puket ;1002704762;39.90;moda;calçados-infantis
69;Meia Infantil Sapatilha Turquesa BFF Amizade com Solado Antiderrapante Puket ;1002704771;32.90;moda;calçados-infantis
70;Meia Infantil Sapatilha Preta Pipas com Solado Antiderrapante Puket ;1002704764;32.90;moda;calçados-infantis
71;;;;moda;calçados-infantis
72;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708922;;moda;calçados-infantis
73;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708920;;moda;calçados-infantis
74;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708930;;moda;calçados-infantis
75;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708923;;moda;calçados-infantis
76;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708941;;moda;calçados-infantis
77;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708927;;moda;calçados-infantis
78;Sandalia Feminina Slide Ipanema Solar Chinelo Rasteirinha ;1002708913;;moda;calçados-infantis
79;Meia Sapatilha Bebê Estilo Boneca Unicórnio Rosa Flúor Puket ;1002685827;34.90;moda;calçados-infantis
80;Sandália Pimpolho Menina Colorê - Cobre ;1002712715;39.31;moda;calçados-infantis
81;Sandália Infantil Menina Slide Tiras Ipanema Solar ;1002691647;42.12;moda;calçados-infantis
82;Chinelo infantil Menina Polly Pocket Ipanema ;1002691798;32.29;moda;calçados-infantis
83;Chinelo Infantil Masculino Ipanema Super Pets Herois ;1002691808;35.10;moda;calçados-infantis
84;Chinelo Ipanema Turma da Mônica Infantil ;1002691752;32.29;moda;calçados-infantis
85;Chinelo Ipanema Turma da Mônica Infantil ;1002691754;32.29;moda;calçados-infantis
86;Chinelo Ipanema Turma da Mônica Infantil ;1002691685;32.29;moda;calçados-infantis
87;Chinelo infantil Menina Polly Pocket Ipanema ;1002691608;32.29;moda;calçados-infantis
88;Meia Infantil Menina Soquete Coloridas e Divertidas Brisk Kit 3 ;1002717959;44.90;moda;calçados-infantis
89;Meia Infantil Soquete Menino Coloridas e Divertidas Brisk Kit 3 ;1002717969;44.90;moda;calçados-infantis
