;name;SKU;price;department;sector
0;Jogo Tapa Certo - Animais - Estrela ;100137590;49.99;brinquedos;jogos
1;Jogo Cilada - Nova Edição - Estrela ;100155357;39.99;brinquedos;jogos
2;Jogo de Cartas - UNO - Copag ;100121803;17.90;brinquedos;jogos
3;Cards Pokémon - Blister Quadruplo - Ev01 - Copag ;1002654759;35.99;brinquedos;jogos
4;Cards Pokémon - Blister Triplo - Ev01 - Copag ;1002654757;28.99;brinquedos;jogos
5;Jogo De Cartas - UNO - Minimalista - Mattel ;100292913;32.99;brinquedos;jogos
6;Jogo Monta Palavras Multidisciplinar - Elka ;100001093;44.99;brinquedos;jogos
7;;;;brinquedos;jogos
8;Jogos - Minhas Primeiras Formas - Toyster ;100160103;37.99;brinquedos;jogos
9;Jogo de Xadrez Tabuleiro Peças Madeira Unyhome JG172002 ;100452099;49.90;brinquedos;jogos
10;Kit Letras Alfabeto 28 Peças ;1002718658;27.99;brinquedos;jogos
11;Maxi Pega Vareta ;1002718662;49.99;brinquedos;jogos
12;Jogo de Cartas - Trunfo - DC Comics - Liga da Justiça - Grow ;100168564;25.49;brinquedos;jogos
13;Jogo Caiu Perdeu 54pçs Madeira Pais e Filhos ;1002610665;21.99;brinquedos;jogos
14;Jogo Barril do Pirata Brinquedo Infantil Pula Interativo até 4 Jogadores Art Brink ;1002468458;34.90;brinquedos;jogos
15;Jogo Harry Potter - Desafio das Horcruxes - Copag ;100176275;27.47;brinquedos;jogos
16;Cubo Mágico Profissional 3x3x3 Moyu Mf3 Moyu Mofangjiaoshi Preto ;100384892;17.99;brinquedos;jogos
17;Jogo do Espaguete - Estrela ;1002276758;41.99;brinquedos;jogos
18;Jogo de Tabuleiro e Futebol de Botão Infantil Estilingol - Carimbras ;100519932;41.88;brinquedos;jogos
19;Jogo Qi Musical - Estrela ;100453614;47.99;brinquedos;jogos
20;Jogo Smart Brain - Estrela ;1002315647;48.99;brinquedos;jogos
21;Jogo de Memória - Sombras - 24 Peças - Xalingo ;1002438364;28.99;brinquedos;jogos
22;Jogo de Cartas - Color Addict - Super Fã - Now United - Copag ;100525488;48.99;brinquedos;jogos
23;Aquaplay The Water Game - Rosa - Art Brink ;100517489;19.99;brinquedos;jogos
24;50 Cartas Pokemon Original Sem Repetições e 02 Brilhantes Garantidas ;1002617078;44.90;brinquedos;jogos
25;Jogo de Cartas UNO The Mandalorian HJR23 Mattel ;1002514802;22.90;brinquedos;jogos
26;Truque de Mestre Estrela ;1002605807;49.90;brinquedos;jogos
27;Jogo de Cartas Jogo do Mico ;1002707330;19.90;brinquedos;jogos
28;Jogo Forca Educativo Infantil Super Jogos - Pais & Filhos ;1002313598;29.90;brinquedos;jogos
29;Jogo Lince Grow 00432 ;1002513086;42.90;brinquedos;jogos
30;Jogo Educativo Descobrindo o Alfabeto Madeira Nig ;1002713866;36.90;brinquedos;jogos
31;Jogo Pedagógico Forma Palavras - Pais e Filhos - ;1002638633;23.99;brinquedos;jogos
32;RUMMI ;100291897;36.90;brinquedos;jogos
33;;;;brinquedos;jogos
34;Cubo Mágico Profissional 3x3x3 Fanxin Black Carbon ;100341306;22.99;brinquedos;jogos
35;Pokemon Cartas - Realeza Absoluta - Rillaboom - Blister Triplo com 19 Cards ;1002693971;39.99;brinquedos;jogos
36;JOGO DE TABULEIRO TURMA DA MONICA DIA DE MESADA ;1002358809;;brinquedos;jogos
37;Jogo de Cartas Rouba Monte Frozen 2 ;100335955;24.89;brinquedos;jogos
38;Torre De Madeira Jogo Caiu Perdeu 54 Pçs Compativel Com jenga ;1002424607;23.90;brinquedos;jogos
39;Jogo Come Come Parque Hipopotamo - Colorido E Super Fofo ;1002117131;49.99;brinquedos;jogos
40;Jogo De Damas Na Sacola - Junges ;1002611593;19.98;brinquedos;jogos
41;Jogo Meu Primeiro Tabuleiro - Pais & Filhos ;1002552476;34.99;brinquedos;jogos
42;Conjunto de 7 Dados Clear para RPG (D4, D6, D8, D10, D10%, D12, D20) ;1002670581;35.85;brinquedos;jogos
43;Jogo Criando Histórias ;1002546512;49.99;brinquedos;jogos
44;Spinner Giro Stress Color Fun 4 com Ventosa ;1002491883;38.40;brinquedos;jogos
45;Jogo Primeiras Palavras em Inglês 4032 Grow ;1002514859;35.90;brinquedos;jogos
46;Jogo Resta Um ;1002695140;44.00;brinquedos;jogos
47;Jogo De Cartas - Monopoly Bid - Hasbro ;100314213;29.60;brinquedos;jogos
48;Jogo Pega Vareta - Xalingo ;100000859;15.90;brinquedos;jogos
49;Jogo Educativo - Bingo das Letras - Grow ;100007585;44.96;brinquedos;jogos
50;Brinquedo Bichinho Virtual 168 Animal Em 1 - Colorido rosa ;1002412456;35.99;brinquedos;jogos
51;Jogo Torre Terremoto Clássico Infantil Empilhar Madeira ;1002495114;17.98;brinquedos;jogos
52;Cubo de Manobra - Cubo Infinity - Fidget - Sortidos - Toyng ;1002571585;19.99;brinquedos;jogos
53;Jogo Tote Monstros - Premium Games - Estrela ;100468558;42.99;brinquedos;jogos
54;Cubo Mágico Grande Profissional Iniciante cores sortido 6x6x6 ;1002566215;22.00;brinquedos;jogos
55;Kit Pop It Paula Stephânia - Estrela ;1002393585;39.99;brinquedos;jogos
56;Jogo Futegame - Estrela ;1002599983;47.99;brinquedos;jogos
57;Quebra Cabeça Matemática Divertida 60 Peças Multikids - BR1798 ;1002687580;35.51;brinquedos;jogos
58;Jogo Mega Dicas - Pais e Filhos ;100467121;35.89;brinquedos;jogos
59;JOGO DE TABULEIRO SUSPEITO DESCUBRA MISTERIOS ;1002358303;;brinquedos;jogos
60;Quadro Mágico Rosa - Zoop Toys ;1002457511;34.90;brinquedos;jogos
61;Jogo da Memória Turma da Mônica - Toyster ;100225577;26.99;brinquedos;jogos
62;Jogo Lendas do Basquete Cesta de Basquete Infantil Lotus ;100336541;49.99;brinquedos;jogos
63;Kit Centopéia com Pompons e 2 Hashi de madeira para Coordenação motora fina e pareamento de cores ;1002509723;25.42;brinquedos;jogos
64;Kit Pescaria Minnie Etitoys ;1002497060;28.90;brinquedos;jogos
65;Blister Realeza Absoluta Cinderace/Rillaboom/Inteleon Copag ;1002710124;40.50;brinquedos;jogos
66;Super Trunfo - Predadores Aquáticos - Grow ;1002667964;20.39;brinquedos;jogos
67;Jogo de Cartas - Super Trunfo - Gatos - 32 Cartas - Grow ;1002195019;19.99;brinquedos;jogos
68;Conjunto de 7 Dados Marble para RPG (D4, D6, D8, D10, D10%, D12, D20) ;1002719231;35.85;brinquedos;jogos
69;Jogo da Memória Infantil - Frutas - 24 Peças - Xalingo ;1002571335;21.99;brinquedos;jogos
70;Brinquedo Material Dourado Individual 111 Pcs Caixa Madeira ;1002620653;29.99;brinquedos;jogos
71;Jogo Super Trunfo Transformers ;1002583549;29.99;brinquedos;jogos
72;Cubo Bola Mágica Puzzle ;1002442613;29.25;brinquedos;jogos
73;Caixinha das Virtudes 'O pequeno Francisco' ;1002619580;36.90;brinquedos;jogos
74;Jogo Educativo Jogo de Mesa Dinossauro Brinquedo Infantil ;1002604674;25.90;brinquedos;jogos
