;name;SKU;price;department;sector
0;Fralda de Pano - Cremer - Luxo com Bainha - Branca - 5 Unidades ;100052151;36.90;baby;banho-e-higiene
1;Fraldas Pampers Recém-Nascido Premium Care RN+ 20 Unidades ;1002529183;25.90;baby;banho-e-higiene
2;Livrinho de Banho - Conhecendo as Frutas - Buba ;100287566;17.90;baby;banho-e-higiene
3;Assento para Banheira - Burigotto - Cinza ;1002522750;49.99;baby;banho-e-higiene
4;Massageador de Gengiva - Com Case - Buba ;100160036;18.90;baby;banho-e-higiene
5;Fralda de Pano - Cremer - Luxo - Estampadas - 5 Unidades ;100147250;35.90;baby;banho-e-higiene
6;Escova Dental Elétrica Infantil - Kids Health Pro - Gatinho - Multi Saúde - HC155 ;1002656207;31.90;baby;banho-e-higiene
7;Pano de Boca - Cremer - Premium - Estampado - 3 Unidades ;1002394121;26.90;baby;banho-e-higiene
8;Fio Dental Kids Dentek Fun Flossers com 40 unidades ;100558154;16.90;baby;banho-e-higiene
9;Fralda de Pano - Cremer - Premium - Quadriculadas - Branca - 3 Unidades ;1002387588;48.90;baby;banho-e-higiene
10;Cueiro - Cremer - Premium - Estampa de Estrelas ;1002394068;31.90;baby;banho-e-higiene
11;Assento Vaso Infantil Redutor Vaso Sanitário Bebês Sortido ;1002136080;35.99;baby;banho-e-higiene
12;Escova de Dentes com Massageador - Girls - MAM ;100173078;24.90;baby;banho-e-higiene
13;Fralda Pampers Premium Care Recém Nascido Plus com 20 unidades - 3 à 6Kg ;100332855;34.90;baby;banho-e-higiene
14;DENTAL TIMER AMPULHETA PARA MARCAR TEMPO DE ESCOVAÇÃO -ANGIE ;1002318494;34.99;baby;banho-e-higiene
15;TRONINHO E REDUTOR ASSENTO REDUTOR ROSA ;1002363816;23.76;baby;banho-e-higiene
16;Escova de Dente Kids DPA 3+ com 1 Unidade (Cores Sortidas) Multi Saúde - HC580 ;1002656214;5.90;baby;banho-e-higiene
17;ESCOVA DE DENTE CRAYOLA PIP SQUEAKS - 2 UNIDADES - GUM ;1002717357;18.90;baby;banho-e-higiene
18;Kit de Lixa de Unhas Infantil Fazendinha Buba com 4 unidades ;1002693609;14.00;baby;banho-e-higiene
19;Escova Dental Elétrica Infantil Mônica - Turma da Mônica - HC270 ;1002374651;39.90;baby;banho-e-higiene
20;Copinhos De Banho Bebê Encaixáveis Brinquedo Infantil 8 Unidades Buba ;1002607060;38.00;baby;banho-e-higiene
21;Escova Bico Mamadeira Bebe Infantil Limpa Fácil Higienização ;1002521014;16.99;baby;banho-e-higiene
22;Escova Dental Elétrica Infantil Cebolinha - Turma da Mônica - HC271 ;1002374652;39.90;baby;banho-e-higiene
23;Talco Cremoso Giovanna Baby Giby & Gaby 120g ;1002509193;16.97;baby;banho-e-higiene
24;Repelente Insetos Off! Spray Family 200ml Com Aloe Vera ;1002599427;28.97;baby;banho-e-higiene
25;Escova de dentes Ecologico Bambu Macia Oralclear infantil ;1002509217;19.97;baby;banho-e-higiene
26;Escova de dentes Ecologico Bambu Macia Oralclear infantil ;1002509204;19.97;baby;banho-e-higiene
27;Kit Cuidados Manicure Infantil Unhas Azul Clingo ;1002104816;41.90;baby;banho-e-higiene
28;Kit De Higiene Oral Para Bebê Comtac Kids 4377 ;100558396;;baby;banho-e-higiene
29;Cortador De Unha Infantil Bebê Com Lupa Comtac Kids 4436 ;100558398;;baby;banho-e-higiene
30;Escova De Dentes Chicco 6M+ Azul ;1002376376;19.90;baby;banho-e-higiene
31;Espelho Para Banho Baleia Em Acrílico E EVA Comtac Kids 4103 ;100454562;;baby;banho-e-higiene
32;Kit Panos de Boca 3pçs Vivaldi Bege ;1002624504;;baby;banho-e-higiene
33;Kit Panos de Boca 3pçs Vivaldi Rosa ;1002624509;;baby;banho-e-higiene
34;Troninho Assento Infantil Pinico Modelo Gatinho De 1,3 L Roxo ;1002305990;25.99;baby;banho-e-higiene
35;Troninho Assento Infantil Pinico Modelo Gatinho De 1,3 L Branco ;1002305988;25.99;baby;banho-e-higiene
36;Troninho Assento Infantil Pinico Modelo Tatarugade 1,4 L Roxo ;1002305989;25.99;baby;banho-e-higiene
37;Assento Vaso Infantil Redutor Vaso Sanitário Bebês Sortido Menina ;1002305962;35.99;baby;banho-e-higiene
38;Troninho Assento Infantil Pinico Modelo Gatinho De 1,3 L Azul ;1002305961;25.99;baby;banho-e-higiene
39;;;;baby;banho-e-higiene
