;name;SKU;price;department;sector
0;Acessórios de Praia - Sandtastic - Pixar - Carros - Disney ;100180467;24.99;produtos importados;esportes
1;Pula Corda - Azul - FanFun ;100156525;17.99;produtos importados;esportes
2;Bola de Futebol - Cores Sortidas - DTC ;100175577;49.90;produtos importados;esportes
3;Bote Inflável - Princesas Disney - Disney ;100041222;19.99;produtos importados;esportes
4;Teimoso do Solzinho ;100001335;15.99;produtos importados;esportes
5;Bola de Futebol de campo quadra  PSG modelo Mundial 20 Licenciada  Azul Vermelho 03 ;1002455715;49.99;produtos importados;esportes
6;Acessórios de Praia e Piscina - Bóias de Braço - Fundo do Mar - Intex ;100155769;10.99;produtos importados;esportes
7;Baby Bote do Solzinho ;100001333;9.99;produtos importados;esportes
8;Acessórios de Praia e Piscina - Boia com Cabeça - Baby Zoo - Zebra - New Toys ;1002641211;29.99;produtos importados;esportes
9;KIT DE PROTEÇÃO INFANTIL JOELHEIRA + COTOVELEIRA ROSA ETITOYS ;1002726291;;produtos importados;esportes
10;Acessórios de Praia e Piscina - Bóia Redonda - 114 Cm - Rosquinha Donut - Chocolate - Intex ;100155766;29.99;produtos importados;esportes
11;Acessórios de Praia e Piscina - Bóia Redonda - 61 Cm - Praia - Intex ;100291080;9.99;produtos importados;esportes
12;Boia - Intex - Transparente - Estampa de Dinossauros ;1002583630;9.99;produtos importados;esportes
13;Bote Inflável Infantil - Peixinho - Intex - New Toys ;100467398;29.99;produtos importados;esportes
14;Acessórios de Praia e Piscina - Boia com Cabeça - Baby Zoo - Pinguim - New Toys ;100180009;29.99;produtos importados;esportes
15;Kit Completo Ping Pong Tênis De Mesa Raquete Bolinha e Rede ;1002674613;44.90;produtos importados;esportes
16;BALDINHO PRAIA INFANTIL KIT CARRINHO COM PUXADOR ACESSORIOS PAZINHA BRINQUEDO BEBE MENINO MENINA COMPLETO Menino ;1002642042;21.90;produtos importados;esportes
17;Jogo Vai e Vem Princesas Disney ;1002702842;39.99;produtos importados;esportes
18;Capacete de Proteção Ajustável - Bike - Tamanho M - Bel Fix - Cores Sortidas ;100415385;49.99;produtos importados;esportes
19;Piscina Infantil Inflável Colorida 66 Litros Para Criança Brizi ;1002412332;44.90;produtos importados;esportes
20;Conjunto para Praia - Monte Líbano ;1002410292;45.99;produtos importados;esportes
21;;;;produtos importados;esportes
22;Óculos de Natação - Silicone - Preto - Bel Fix ;100557404;19.90;produtos importados;esportes
23;Kit  Ping Pong Tênis De Mesa Raquete e Bolinha ;1002674605;33.90;produtos importados;esportes
24;Bomba De Ar P/ Inflar Colchões, Piscinas Infláveis 30cm Bestway ;100428913;29.99;produtos importados;esportes
25;Boia Infantil Circular - Elefantes - Intex ;1002602249;7.99;produtos importados;esportes
26;Conjunto com 6 Bolinhas - Tênis de Mesa - Bel Fix ;100139080;24.99;produtos importados;esportes
