;name;SKU;price;department;sector
0;Intex Colete Infantil Inflável - Peixinhos ;100180004;15.99;moda;moda-meninos
1;Conjunto Infantil Menina Moletom Epopz Cinza Com Azul Marinho Com Capuz ;1002689602;;moda;moda-meninos
2;Vestido Festa Junina Infantil Menina Xadrez Vermelho Barato ;1002366053;49.90;moda;moda-meninos
3;Sandália Infantil Grendene Kids Barbie Candy Bag Rosa Claro ;100511171;39.99;moda;moda-meninos
4;Tênis Molekinho Suécia Tecido Azul ;1002402355;39.99;moda;moda-meninos
5;Sandália Infantil Grendene Kids Maria Clara e JP Rosa ;100511339;29.99;moda;moda-meninos
6;Galocha Infantil Innpro Kids Rosa Bota Impermeável Menina ;1002372266;49.90;moda;moda-meninos
7;Bota Infantil Streetcal Cano Baixo Preto ;1002363244;39.99;moda;moda-meninos
8;Blusa Térmica Infantil Manga Longa Trick Nick Rosa ;1002682636;;moda;moda-meninos
9;Conjunto Infantil Menino Tricolor Verde ;1002689161;;moda;moda-meninos
10;Camiseta Térmica Manga Longa Infantil Trick Nick Azul ;1002684993;;moda;moda-meninos
11;Blusa Térmica Infantil Manga Longa Trick Nick Branco ;1002682620;;moda;moda-meninos
12;Tênis Molekinha Casual Sintético,Tecido Preto ;1002513952;39.99;moda;moda-meninos
13;Tênis Kallan Winipeg Panda Têxtil Rosa ;1002401507;39.99;moda;moda-meninos
14;Conjunto Infantil Menino Moletom Dinossauros Preto Com Mostarda  Com Capuz ;1002689595;;moda;moda-meninos
15;Meia Sapatilha Antiderrapante Menino Cia da Meia Preto ;1002685224;;moda;moda-meninos
16;Fantasia Dolores Encanto Madrigal Vestido de Menina Infantil - G 9 - 12 ;1002666995;49.90;moda;moda-meninos
17;Fantasia Monster High Infantil Clawdeen Wolf de Luxo Câmera Ação Com Bolsa e Orelhinhas ;1002324370;49.90;moda;moda-meninos
18;Fantasia Infantil Heróis Thor - Ifcat ;1002636898;47.88;moda;moda-meninos
19;Fantasia Dolores Encanto Madrigal Vestido de Menina Infantil - P 2 - 4 ;1002666993;49.90;moda;moda-meninos
20;Sunga Boxer Bebê Uni Femme Azul ;1002626411;;moda;moda-meninos
21;Blusa Infantil Feminina Kyly Meia Malha ;100581861;19.90;moda;moda-meninos
22;Body Manga Curta Frase Bordado Meu Primeiro Pretinho Básico  - Roupa Bebê Menina ;1002403589;;moda;moda-meninos
23;Tênis Pimpolho Comfort Preto,Cinza ;1002192606;44.96;moda;moda-meninos
24;Tiara Infantil Pom Pom Colorido Rosa ;1002654018;;moda;moda-meninos
25;Camiseta Infantil Menino Camuflada Mescla OFF ;1002650245;;moda;moda-meninos
26;Conjunto Infantil Feminino Blusa Com Shorts Rosa Música ;1002653616;;moda;moda-meninos
27;Calça Jogger Brandili Em Moletom Menina Infantil ;100486897;;moda;moda-meninos
28;Tiara Infantil Laço Laranja Com Pedrarias ;1002653641;;moda;moda-meninos
29;Blusa Menina Manga Curta Smile Rosa ;1002653761;;moda;moda-meninos
30;Blusa Menina Manga Curta Rosa Happy Com Amarração ;1002653760;;moda;moda-meninos
31;Cropped Teen Menina Ribana Nó Preto ;1002653708;;moda;moda-meninos
32;Bermuda Ciclista Cachorros Pink ;1002653657;;moda;moda-meninos
33;Blusa Menina Manga Curta Rosa Pipoca ;1002653692;;moda;moda-meninos
34;Body Infantil Animais Verde ;1002653985;;moda;moda-meninos
35;Camiseta Infantil Masculina Off White Básica ;1002650008;;moda;moda-meninos
36;Macacão Bebê Suedine Bichinhos Cats ;1002494312;;moda;moda-meninos
37;Macacão Bebê Suedine Bichinhos Cats ;1002494316;;moda;moda-meninos
38;Macacão Bebê Suedine Bichinhos Cats ;1002494317;;moda;moda-meninos
39;Blusa Menina Manga Curta Preta Pipoca ;1002653702;;moda;moda-meninos
